,structure,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,z_contour_range,z_top,z_bottom
0,brain,v3.0.1,1.23.5,2.2.1,1.4.1,3.10.8,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True}",{'Original': {}},0374113359627d53e321414e662bf82a00fa0cbd,3D,"(1.171875, 1.171875, 3.0)","(512, 512, 142)",-866.966934365286,-1000.0,2976.0,6c9db1565b3da70440c20148dbb6f8bf5672fccc,"(1.171875, 1.171875, 3.0)","(512, 512, 142)","(198, 180, 88, 117, 143, 47)",368606,1,"(256.7869649435983, 254.86221331177464, 112.23278242893495)","(0.9222245432792988, 11.666656224735902, 15.698347286804847)",18.0,58.0,696582287.0,1.6081383773075077,18.0,43.74433622292333,744.0,13.779558290772053,37.52973364513871,34.0,-392.0,1136.0,8.004422718298079,43.47153877581786,3.8076696518683093,2869830589.1418457,0.43654186532304184,481.29377606237904,"[88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134]",134,88
1,brainstem,v3.0.1,1.23.5,2.2.1,1.4.1,3.10.8,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True}",{'Original': {}},0374113359627d53e321414e662bf82a00fa0cbd,3D,"(1.171875, 1.171875, 3.0)","(512, 512, 142)",-866.966934365286,-1000.0,2976.0,9c0049814ab2ae3f4c72a57139c1e5db1a64e8be,"(1.171875, 1.171875, 3.0)","(512, 512, 142)","(241, 241, 88, 30, 26, 17)",5157,1,"(255.45569129338762, 254.31995346131473, 97.89625751405856)","(-0.6378617655614107, 11.031195462478195, -27.311227457824316)",15.0,41.0,4647283.0,1.143394059086317,13.0,3.6882846277373753,83.0,8.190280232688915,28.125848361450455,28.0,-32.0,115.0,5.692357376992568,30.019329949914706,-0.006304692449706981,19146215.97290039,0.5019921488717524,110.09682459054073,"[88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104]",104,88
2,esophagus,v3.0.1,1.23.5,2.2.1,1.4.1,3.10.8,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True}",{'Original': {}},0374113359627d53e321414e662bf82a00fa0cbd,3D,"(1.171875, 1.171875, 3.0)","(512, 512, 142)",-866.966934365286,-1000.0,2976.0,8491fadf47a286da3f3f5c49bdc1403749e9d351,"(1.171875, 1.171875, 3.0)","(512, 512, 142)","(239, 244, 25, 30, 40, 27)",5018,1,"(255.69649262654443, 264.22080510163414, 36.42825827022718)","(-0.3556727032682261, 22.633755978477495, -211.71522518931846)",-663.8999999999999,99.0,576552371.0,4.628499890621568,143.0,4.8550159032951985,1150.0,227.8785646284774,-70.48445595854922,27.0,-1000.0,2150.0,110.18238653930828,338.96437210420567,-0.806989725724571,2375322573.3947754,0.08298828879247147,109928.78702422573,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]",51,25
3,mandible,v3.0.1,1.23.5,2.2.1,1.4.1,3.10.8,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True}",{'Original': {}},0374113359627d53e321414e662bf82a00fa0cbd,3D,"(1.171875, 1.171875, 3.0)","(512, 512, 142)",-866.966934365286,-1000.0,2976.0,eb3da79a3b6503a21d1f288ef2be87d52d420c8a,"(1.171875, 1.171875, 3.0)","(512, 512, 142)","(204, 156, 66, 102, 91, 29)",25913,1,"(252.71520086443098, 195.65133330760622, 76.74607339945202)","(-3.8493739869949195, -57.72109378014895, -90.76177980164397)",91.0,1463.0,21277328732.0,6.070160711184778,949.0,1.665427601046331,1785.0,453.14817149010537,747.7821942654266,708.0,-420.0,2205.0,376.88811876732166,906.1491850356917,0.14764734054036616,87659893152.46582,0.01590082243695229,261928.13548043196,"[66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94]",94,66
4,parotid_l,v3.0.1,1.23.5,2.2.1,1.4.1,3.10.8,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True}",{'Original': {}},0374113359627d53e321414e662bf82a00fa0cbd,3D,"(1.171875, 1.171875, 3.0)","(512, 512, 142)",-866.966934365286,-1000.0,2976.0,ecd0ce737df2a87556a66ddfa2bbceffd4ec6d1d,"(1.171875, 1.171875, 3.0)","(512, 512, 142)","(279, 226, 73, 36, 33, 19)",5889,1,"(299.97249108507384, 241.8745118016641, 82.33333333333333)","(51.53026299032092, -3.553306482424887, -74.0)",-29.0,78.0,18169453.0,2.861978806142157,47.0,7.083825057285917,417.0,33.571864343470175,30.34793683138054,32.0,-119.0,536.0,20.77766884912993,55.54566227640617,0.44690515968144306,74855839.69116211,0.17758990754439677,2164.3233278031084,"[73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91]",91,73
5,parotid_r,v3.0.1,1.23.5,2.2.1,1.4.1,3.10.8,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True}",{'Original': {}},0374113359627d53e321414e662bf82a00fa0cbd,3D,"(1.171875, 1.171875, 3.0)","(512, 512, 142)",-866.966934365286,-1000.0,2976.0,749ec24e3f37157ce2e156d9085266007fbed8d8,"(1.171875, 1.171875, 3.0)","(512, 512, 142)","(194, 224, 75, 38, 34, 14)",4233,1,"(206.96432789983464, 240.9520434679896, 82.32553744389323)","(-57.46367824238126, -4.634324060949666, -74.02338766832031)",-7.7999999999999545,77.0,13044118.0,2.615730696515249,38.0,13.74428613018608,466.0,28.024655813956343,36.73045121663123,35.0,-126.0,592.0,16.169939614369852,55.51153354683152,1.1825673865183564,53740110.16845703,0.22069925314855676,1732.4043101436748,"[75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88]",88,75
6,pcm_low,v3.0.1,1.23.5,2.2.1,1.4.1,3.10.8,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True}",{'Original': {}},0374113359627d53e321414e662bf82a00fa0cbd,3D,"(1.171875, 1.171875, 3.0)","(512, 512, 142)",-866.966934365286,-1000.0,2976.0,6b892ac37dc74995a3c4ed5a7399bedbf7ee2f09,"(1.171875, 1.171875, 3.0)","(512, 512, 142)","(234, 240, 51, 38, 14, 10)",1569,1,"(252.52135117909498, 247.46845124282981, 56.02613129381772)","(-4.076541586998076, 3.002091300191182, -152.92160611854683)",51.0,97.0,46934871.0,2.1887333410286405,22.0,44.16671083253619,1506.0,47.51263831054274,86.72976418100701,73.0,-1000.0,2506.0,9.373685179472378,172.95628267575944,3.590291944981401,193365709.99145508,0.35072982308193207,22391.823722124118,"[51, 52, 53, 54, 55, 56, 57, 58, 59, 60]",60,51
7,pcm_mid,v3.0.1,1.23.5,2.2.1,1.4.1,3.10.8,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True}",{'Original': {}},0374113359627d53e321414e662bf82a00fa0cbd,3D,"(1.171875, 1.171875, 3.0)","(512, 512, 142)",-866.966934365286,-1000.0,2976.0,1126dec616a3ed4b4b3c6a8f6ba9a0d101939535,"(1.171875, 1.171875, 3.0)","(512, 512, 142)","(234, 228, 61, 41, 22, 12)",2337,1,"(254.8048780487805, 238.87376979032948, 66.75353016688062)","(-1.4005335365853853, -7.069801026957634, -120.73940949935815)",12.0,88.0,58972646.0,2.6709811912202306,31.0,41.54718448290975,1608.0,49.76182814865106,55.84424475823705,61.0,-1000.0,2608.0,13.854067778273627,158.8531938124773,2.395883390387944,242959814.75830078,0.2595882245559839,22115.757511806587,"[61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72]",72,61
8,pcm_up,v3.0.1,1.23.5,2.2.1,1.4.1,3.10.8,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True}",{'Original': {}},0374113359627d53e321414e662bf82a00fa0cbd,3D,"(1.171875, 1.171875, 3.0)","(512, 512, 142)",-866.966934365286,-1000.0,2976.0,ffdd646445e7c98e5ea1fb8dfde9e34a04a13bea,"(1.171875, 1.171875, 3.0)","(512, 512, 142)","(238, 222, 73, 35, 22, 13)",2630,1,"(254.84182509505703, 234.83117870722432, 78.97148288973384)","(-1.3572362167300298, -11.807212452471504, -84.0855513307985)",-87.0,71.0,90643758.0,3.036359081194069,33.0,19.359231366914173,1300.0,82.0259249085573,17.338403041825096,44.0,-968.0,2268.0,18.143295650220857,185.64834290759129,0.22824065729199797,373440775.45166016,0.23925139874799406,34164.68700429383,"[73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85]",85,73
9,spinalcord,v3.0.1,1.23.5,2.2.1,1.4.1,3.10.8,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True}",{'Original': {}},0374113359627d53e321414e662bf82a00fa0cbd,3D,"(1.171875, 1.171875, 3.0)","(512, 512, 142)",-866.966934365286,-1000.0,2976.0,dc6c19df36e8a18ceaca811dc96fa839c99f4e0f,"(1.171875, 1.171875, 3.0)","(512, 512, 142)","(242, 254, 0, 19, 80, 88)",10408,1,"(250.8433897002306, 287.6598770176787, 45.37432744043044)","(-6.042902695042244, 50.10141838009224, -184.87701767870868)",0.0,53.0,15297620.0,1.9262024027169524,24.0,21.192225052493093,505.0,17.37894917349098,28.8576095311299,32.0,-142.0,647.0,10.506669884678852,38.33789755492065,-0.1422840367437182,63024252.31933594,0.3513011372733444,637.0327610804319,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87]",87,0
